INFO  - 2017-06-17 18:32:07.349; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-06-17 18:32:07.349; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-06-17 18:32:07.355; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.355; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.358; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-06-17 18:32:07.358; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.358; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2017-06-17 18:32:07.360; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-06-17 18:32:07.360; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-06-17 18:32:07.361; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-06-17 18:32:07.363; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-06-17 18:32:07.363; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-06-17 18:32:07.365; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-06-17 18:32:07.365; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-06-17 18:32:07.366; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-06-17 18:32:07.370; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-06-17 18:32:07.374; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-06-17 18:32:07.377; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-06-17 18:32:07.400; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-06-17 18:32:07.400; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.406; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.410; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.415; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.415; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.420; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.421; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
